Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Couse Code,Engagement Month,Engagement Year,Engagement Type
1,AU,9,2024,65,F,false,JMC,OCTOBER,2024,Lecture 4
1,AU,9,2024,65,F,false,PYC,JANUARY,2024,Lecture 10
2,GB,12,2015,46,F,true,JMC,FEBRUARY,2015,Lecture 4
2,GB,12,2015,46,F,true,PYC,AUGUST,2019,Lecture 1
3,AU,7,2017,66,U,false,JMC,JULY,2020,Lecture 2
3,AU,7,2017,66,U,false,PYC,APRIL,2022,Lecture 3
4,AU,5,2023,39,F,false,JMC,MARCH,2024,Lecture 14
4,AU,5,2023,39,F,false,PYC,AUGUST,2023,Lecture 3
5,US,5,2023,45,F,true,JMC,MARCH,2023,Lecture 3
5,US,5,2023,45,F,true,PYC,JULY,2025,Lecture 3
6,GB,12,2015,82,U,false,JMC,NOVEMBER,2022,Lecture 1
6,GB,12,2015,82,U,false,PYC,NOVEMBER,2024,Lecture 12
7,CN,9,2015,34,U,false,JMC,FEBRUARY,2019,Lecture 13
7,CN,9,2015,34,U,false,PYC,NOVEMBER,2020,Lecture 7
8,IN,4,2020,69,M,false,JMC,JULY,2025,Lecture 7
8,IN,4,2020,69,M,false,PYC,NOVEMBER,2023,Lecture 14
9,IN,3,2025,29,F,false,JMC,SEPTEMBER,2025,Lecture 10
9,IN,3,2025,29,F,false,PYC,DECEMBER,2025,Lecture 8
10,US,3,2022,85,U,false,JMC,APRIL,2025,Lecture 2
10,US,3,2022,85,U,false,PYC,AUGUST,2025,Lecture 3
11,CN,9,2022,48,F,false,JMC,MAY,2025,Lecture 3
11,CN,9,2022,48,F,false,PYC,MAY,2023,Lecture 8
12,IN,1,2017,38,U,true,JMC,SEPTEMBER,2019,Lecture 5
12,IN,1,2017,38,U,true,PYC,APRIL,2025,Lecture 7
13,CN,6,2024,83,U,true,JMC,APRIL,2025,Lecture 11
13,CN,6,2024,83,U,true,PYC,OCTOBER,2024,Lecture 8
14,AU,6,2020,53,U,false,JMC,JANUARY,2024,Lecture 13
14,AU,6,2020,53,U,false,PYC,DECEMBER,2023,Lecture 4
15,US,3,2020,63,M,true,JMC,OCTOBER,2022,Lecture 7
15,US,3,2020,63,M,true,PYC,OCTOBER,2023,Lecture 7
16,AU,9,2019,42,U,true,JMC,MARCH,2021,Lecture 10
16,AU,9,2019,42,U,true,PYC,SEPTEMBER,2022,Lecture 14
17,GB,8,2017,31,F,true,JMC,FEBRUARY,2017,Lecture 6
17,GB,8,2017,31,F,true,PYC,JULY,2017,Lecture 5
18,CN,4,2021,52,F,true,JMC,MARCH,2023,Lecture 8
18,CN,4,2021,52,F,true,PYC,FEBRUARY,2022,Lecture 12
19,GB,11,2024,29,F,false,JMC,FEBRUARY,2025,Lecture 7
19,GB,11,2024,29,F,false,PYC,OCTOBER,2024,Lecture 14
20,US,1,2018,59,U,false,JMC,FEBRUARY,2020,Lecture 12
20,US,1,2018,59,U,false,PYC,FEBRUARY,2020,Lecture 8
21,GB,2,2024,76,M,false,JMC,APRIL,2024,Lecture 5
21,GB,2,2024,76,M,false,PYC,MARCH,2024,Lecture 12
22,US,8,2017,41,F,false,JMC,DECEMBER,2022,Lecture 5
22,US,8,2017,41,F,false,PYC,JULY,2017,Lecture 4
23,IN,2,2017,78,U,true,JMC,JULY,2018,Lecture 10
23,IN,2,2017,78,U,true,PYC,SEPTEMBER,2022,Lecture 14
24,US,1,2019,29,U,false,JMC,JUNE,2019,Lecture 12
24,US,1,2019,29,U,false,PYC,MARCH,2019,Lecture 10
25,CN,5,2019,89,M,false,JMC,MARCH,2019,Lecture 9
25,CN,5,2019,89,M,false,PYC,JANUARY,2021,Lecture 13
